trojan,vmess,shadowsocks
157062.0,73444.0,247776.0
89072.0,73244.0,246974.0
89379.0,85855.0,247454.0
88959.0,85114.0,247864.0
88851.0,85187.0,247672.0
89100.0,73742.0,247090.0
88802.0,73609.0,247912.0
89126.0,85925.0,247682.0
90220.0,85984.0,247776.0
88937.0,85321.0,247419.0
89128.0,73132.0,247194.0
89067.0,85144.0,247849.0
187865.0,73850.0,247508.0
89423.0,73447.0,247310.0
89126.0,85773.0,247648.0
89465.0,73063.0,247648.0
90990.0,73175.0,249479.0
89081.0,86021.0,105166.0
90991.0,85698.0,247429.0
90429.0,73186.0,248427.0
89477.0,73197.0,248466.0
89016.0,73731.0,247306.0
107954.0,73090.0,247798.0
90612.0,73159.0,247730.0
89523.0,85573.0,247774.0
161201.0,85312.0,248714.0
89122.0,75125.0,249898.0
89169.0,86122.0,247506.0
89051.0,73114.0,247642.0
89177.0,85288.0,247520.0
89001.0,73019.0,247743.0
95190.0,85716.0,247999.0
88727.0,73456.0,248310.0
89114.0,73557.0,249200.0
89173.0,73675.0,247262.0
95226.0,85107.0,247673.0
253558.0,85114.0,247574.0
148240.0,85548.0,247492.0
154474.0,73154.0,248522.0
168607.0,85850.0,247614.0
130045.0,73102.0,247631.0
162353.0,73046.0,248230.0
148841.0,85534.0,248737.0
130592.0,73373.0,247326.0
160053.0,85428.0,247210.0
166225.0,85349.0,247248.0
142181.0,73632.0,247535.0
160135.0,85391.0,248110.0
252989.0,86660.0,247608.0
173560.0,72998.0,248281.0
166672.0,73181.0,249530.0
160913.0,73373.0,247768.0
167687.0,73355.0,247896.0
178270.0,24085.0,249676.0
148339.0,73252.0,249271.0
147837.0,73467.0,247676.0
141842.0,73402.0,249497.0
160410.0,73146.0,249427.0
142563.0,73158.0,246820.0
142283.0,73411.0,248275.0
154733.0,85605.0,247649.0
117123.0,72896.0,247640.0
135032.0,11957.0,253443.0
147782.0,73439.0,247994.0
135669.0,73342.0,248050.0
192630.0,85834.0,247329.0
130069.0,85690.0,247836.0
110669.0,24360.0,247802.0
160424.0,85953.0,247112.0
150175.0,73184.0,247780.0
135289.0,85355.0,247395.0
110764.0,85611.0,231647.0
153767.0,85744.0,248110.0
160872.0,17930.0,248018.0
148277.0,24296.0,247445.0
130407.0,85837.0,247700.0
192165.0,73283.0,247980.0
135237.0,72971.0,247730.0
148083.0,85784.0,247578.0
123153.0,24102.0,249050.0
150073.0,86386.0,247558.0
136392.0,73439.0,247934.0
251892.0,73068.0,247207.0
161092.0,86048.0,247395.0
159976.0,85880.0,247528.0
135173.0,73068.0,258679.0
142277.0,86334.0,247431.0
141944.0,85565.0,249445.0
129947.0,85537.0,247086.0
160425.0,73503.0,247406.0
154552.0,86088.0,247911.0
161601.0,73232.0,247874.0
197657.0,30160.0,247778.0
147740.0,72955.0,248005.0
135848.0,85718.0,248608.0
155833.0,73050.0,247944.0
135617.0,11950.0,249088.0
153627.0,72860.0,251022.0
148174.0,86080.0,247866.0
165566.0,85941.0,248746.0
166504.0,72973.0,247708.0
147708.0,73753.0,247966.0
159956.0,73366.0,247669.0
161328.0,73319.0,247631.0
161466.0,73032.0,249612.0
136813.0,85928.0,247506.0
172442.0,74013.0,247493.0
166907.0,73200.0,247945.0
148118.0,73201.0,247362.0
147663.0,85944.0,247440.0
166344.0,73154.0,247782.0
142307.0,85906.0,247342.0
155253.0,24072.0,247158.0
147629.0,87465.0,247326.0
154544.0,85354.0,247751.0
160644.0,73184.0,248237.0
153528.0,73429.0,247802.0
141695.0,85951.0,247612.0
130020.0,73607.0,250345.0
162853.0,85447.0,251550.0
159988.0,85722.0,247872.0
123296.0,73163.0,248142.0
154841.0,72922.0,759.0
160515.0,73300.0,11303.0
130621.0,24333.0,245140.0
110934.0,85878.0,253793.0
141862.0,85667.0,247754.0
173514.0,85706.0,247972.0
166953.0,86153.0,247477.0
254053.0,85468.0,247546.0
155465.0,85593.0,247718.0
174122.0,85725.0,248070.0
154142.0,73078.0,247926.0
147989.0,85875.0,247954.0
153606.0,73206.0,242017.0
154350.0,18075.0,247898.0
129710.0,73719.0,249566.0
178732.0,24056.0,256402.0
149144.0,85775.0,247958.0
147766.0,73003.0,247510.0
148384.0,85986.0,247995.0
141795.0,85880.0,248182.0
136027.0,85554.0,247440.0
162211.0,86201.0,247440.0
142340.0,85836.0,247893.0
142483.0,73445.0,247989.0
154657.0,24233.0,248184.0
153939.0,73604.0,247965.0
147858.0,85468.0,253490.0
147641.0,85695.0,247984.0
141669.0,73069.0,250251.0
148476.0,36407.0,247610.0
136039.0,76731.0,248965.0
149998.0,85733.0,247818.0
166437.0,85658.0,254670.0
147471.0,73511.0,253763.0
166915.0,73399.0,247610.0
154888.0,86069.0,248243.0
135104.0,73421.0,248308.0
122958.0,73425.0,248272.0
148869.0,73009.0,247524.0
147914.0,73206.0,247520.0
141649.0,85276.0,247792.0
142033.0,73270.0,247904.0
141843.0,73209.0,247595.0
111514.0,73786.0,247468.0
255852.0,73658.0,248192.0
148402.0,85373.0,247709.0
128628.0,24209.0,253269.0
154060.0,86085.0,247769.0
252635.0,73036.0,248119.0
167045.0,86053.0,251322.0
160764.0,85992.0,233985.0
172010.0,73157.0,247100.0
148510.0,72955.0,247654.0
123916.0,72989.0,248088.0
129031.0,86005.0,247672.0
148372.0,73185.0,248978.0
135578.0,85977.0,247731.0
160561.0,86011.0,251570.0
167421.0,72948.0,104903.0
149742.0,73431.0,248180.0
154119.0,85497.0,248175.0
165312.0,86600.0,247820.0
149598.0,85823.0,247858.0
129657.0,85654.0,247792.0
185631.0,30387.0,252020.0
136187.0,85768.0,255205.0
153911.0,73198.0,247656.0
147873.0,73734.0,247615.0
166484.0,73460.0,250326.0
160299.0,86183.0,247233.0
129786.0,73451.0,247420.0
110714.0,73122.0,248329.0
110557.0,73404.0,247314.0
154909.0,73349.0,249197.0
173097.0,86106.0,247998.0
135578.0,24167.0,248180.0
141564.0,85914.0,248246.0
148349.0,85766.0,247994.0
254706.0,73051.0,248047.0
166485.0,18003.0,247610.0
230297.0,86195.0,247842.0
172615.0,85719.0,247846.0
141978.0,72975.0,247881.0
131223.0,85768.0,247892.0
149384.0,86055.0,247554.0
155964.0,85520.0,249071.0
160669.0,72892.0,247719.0
148676.0,85639.0,106766.0
149008.0,85288.0,169676.0
130112.0,73099.0,106082.0
172550.0,85831.0,105732.0
166886.0,73885.0,106729.0
148295.0,73454.0,120897.0
173184.0,85675.0,105906.0
166730.0,72994.0,106723.0
123344.0,73517.0,106240.0
149687.0,73513.0,106644.0
234385.0,85850.0,132475.0
147324.0,73581.0,106779.0
160151.0,73311.0,106032.0
128982.0,73042.0,108094.0
148244.0,73047.0,107737.0
142387.0,30518.0,106248.0
154737.0,73154.0,106587.0
148093.0,85646.0,106650.0
141573.0,73233.0,106086.0
160413.0,85578.0,125697.0
153835.0,85542.0,158549.0
161293.0,36459.0,106652.0
136064.0,86066.0,106506.0
128900.0,73038.0,106148.0
153696.0,72934.0,105793.0
129356.0,86303.0,133325.0
147778.0,73562.0,106794.0
123742.0,73450.0,106970.0
148133.0,85908.0,222193.0
161148.0,18052.0,105946.0
168591.0,73170.0,125189.0
197646.0,85640.0,106041.0
259652.0,73282.0,106405.0
141916.0,85588.0,106248.0
174317.0,85758.0,105820.0
129106.0,73817.0,106621.0
153713.0,73447.0,105861.0
147889.0,86047.0,105852.0
187888.0,73279.0,105851.0
160685.0,86055.0,106587.0
199044.0,85610.0,137654.0
6676.0,73304.0,172281.0
234690.0,85384.0,106533.0
178560.0,85492.0,106474.0
174747.0,24080.0,125980.0
185093.0,85730.0,106254.0
179203.0,73138.0,105645.0
171885.0,86068.0,158555.0
178761.0,85997.0,105860.0
